Squad;# Pl;90s;Goals-GA;Goals-PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;
Angers;1;3.0;1;0;0;0;0;0.7;0.07;-0.3;-0.11;17;39;43.6;57;20;47.4;40.5;17;70.6;53.6;34;2;5.9;3;1.00;16.2
Bordeaux;1;3.0;5;0;0;1;0;4.9;0.33;-0.1;-0.03;22;51;43.1;64;7;59.4;42.4;16;81.3;54.9;12;0;0.0;0;0.00;12.8
Brest;1;3.0;6;0;0;1;0;3.5;0.23;-2.5;-0.84;33;56;58.9;67;13;58.2;45.1;27;63.0;48.8;19;1;5.3;0;0.00;13.4
Clermont Foot;1;3.0;3;1;0;1;0;3.7;0.20;+0.7;+0.24;6;10;60.0;45;13;13.3;25.5;23;17.4;23.3;19;0;0.0;0;0.00;11.7
Lens;1;3.0;3;0;0;0;0;2.4;0.24;-0.6;-0.21;19;49;38.8;70;15;47.1;40.3;24;66.7;54.5;23;3;13.0;0;0.00;11.8
Lille;2;3.0;8;1;0;3;0;4.4;0.32;-3.6;-1.20;15;34;44.1;61;18;41.0;35.6;20;45.0;45.6;12;0;0.0;3;1.00;17.3
Lorient;1;3.0;4;1;1;1;0;5.1;0.26;+1.1;+0.35;14;64;21.9;46;6;71.7;53.7;35;88.6;66.8;50;2;4.0;1;0.33;14.7
Lyon;1;4.0;7;0;0;1;2;4.8;0.22;-0.2;-0.05;17;32;53.1;104;19;21.2;30.1;32;31.3;31.5;33;3;9.1;3;0.75;14.0
Marseille;1;2.8;4;0;0;2;1;1.9;0.32;-2.1;-0.70;7;14;50.0;44;6;20.5;30.0;23;21.7;34.7;23;2;8.7;1;0.50;14.3
Metz;1;3.0;6;0;0;1;1;4.2;0.28;-0.8;-0.26;18;50;36.0;72;21;47.2;40.7;22;72.7;57.6;23;3;13.0;1;0.33;15.1
Monaco;1;3.0;4;1;0;1;0;2.5;0.38;-1.5;-0.51;10;23;43.5;72;9;27.8;31.9;12;25.0;34.0;5;0;0.0;4;1.33;21.8
Montpellier;1;3.0;7;0;1;1;1;5.6;0.28;-0.4;-0.12;23;48;47.9;72;20;52.8;40.4;21;47.6;42.3;29;6;20.7;0;0.00;10.7
Nantes;1;4.0;3;0;0;0;0;4.3;0.24;+1.3;+0.32;15;70;21.4;67;8;53.7;46.3;36;94.4;66.8;29;2;6.9;3;0.75;16.4
Nice;1;2.8;0;0;0;0;0;1.6;0.26;+1.6;+0.52;10;28;35.7;35;7;40.0;36.1;20;70.0;50.9;12;1;8.3;1;0.50;13.9
Paris S-G;1;3.0;5;0;0;1;0;3.7;0.31;-1.3;-0.42;8;10;80.0;60;14;11.7;26.9;19;15.8;23.1;30;2;6.7;0;0.00;9.6
Reims;1;3.0;4;0;0;2;0;3.9;0.36;-0.1;-0.02;14;40;35.0;62;11;43.5;39.6;21;61.9;51.3;27;3;11.1;3;1.00;17.6
Rennes;1;3.0;2;0;0;0;0;4.2;0.36;+2.2;+0.74;15;29;51.7;91;20;22.0;26.2;22;40.9;38.2;32;3;9.4;2;0.67;14.9
Saint-Étienne;1;3.0;4;0;0;1;0;3.3;0.21;-0.7;-0.24;19;56;33.9;70;14;50.0;41.6;25;84.0;63.6;19;0;0.0;3;1.00;14.5
Strasbourg;1;3.0;7;0;0;1;1;6.8;0.53;+0.8;+0.28;9;23;39.1;54;9;42.6;35.4;9;0.0;21.4;22;2;9.1;3;1.00;15.7
Troyes;1;3.0;5;0;0;2;0;3.4;0.24;-1.6;-0.54;33;68;48.5;102;15;49.0;40.5;27;66.7;46.6;31;1;3.2;1;0.33;12.0
